States,Andhra Pradesh,Arunachal Pradesh,Bihar,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Punjab,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal
Daily,16.43,99.37,40,49.25,62.69,1,36.63,53.36,50.62,77.5,66.3,100,37.5,97.44,36.79,75.64,89.61
week,81.59,0.63,59.75,50.75,37.31,99,58.42,44.52,46.91,22,33.7,0,62,2.05,57.53,23.85,9.96
Month,1.7,0,0.25,0,0,0,4.29,0.35,1.23,0,0,0,0,0,5.02,0.26,0
Never,0.28,0,0,0,0,0,0.66,1.77,1.23,0.5,0,0,0.5,0.51,0.67,0.26,0.43
